iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take,upgrades,removes,elites,potions_got,potions_used,potions_used_elite,potions_used_boss,potions_used_normal,potions_expired,potion_use_hp,relics,hp_lost,aux
122,4030464,61.759,530,20.92420212413883,0.0,173.83,3.809714689850807e-05,6.848359107971191,0.597805380821228,2.0059291429674886e-05,0.0,0.0003,0.22127960410038883,0.9234042553191489,2.68,0.49,0.7,4.36,0.19,0.0,0.0,0.19,0.0,0.1411442394554615,3.67,138.83,0.04347944585606456
123,4063232,128.18,511,22.492664889821317,0.0,173.24,0.00013989233411848545,8.514632225036621,0.5682398080825806,1.1926035824671999e-05,7.62939453125e-06,0.0003,0.1872580077437522,0.9147180192572214,2.63,0.6,0.94,4.41,0.11,0.0,0.0,0.11,0.0,0.08469852924346924,3.97,144.07,0.045361951692029834
124,4096000,197.643,497,20.465523755247705,0.0,172.02,-0.00023500993847846985,8.627358436584473,0.5723455548286438,1.2513271020253569e-05,7.62939453125e-06,0.0003,0.22545959070412763,0.9273447820343461,1.98,0.54,0.82,4.39,0.07,0.0,0.0,0.07,0.0,0.05550000011920929,3.73,142.1,0.04315245500765741
125,4128768,267.232,490,22.95440700405161,0.0,175.12,9.160116314888e-05,9.663169860839844,0.562567412853241,2.714888324817366e-05,0.00014495849609375,0.0003,0.20083102493074792,0.9234899328859061,2.98,0.59,0.82,4.77,0.11,0.0,0.0,0.11,0.02,0.08712081491947174,3.99,139.55,0.04935418569948524
126,4161536,336.169,487,21.626398095563054,0.0,168.85,-0.00017007021233439445,9.863564491271973,0.5556914806365967,1.0242285441108834e-05,0.0,0.0003,0.221546170365068,0.9104895104895104,3.02,0.56,0.71,4.25,0.15,0.0,0.0,0.15,0.01,0.12057943642139435,3.92,141.62,0.05023361195344478
127,4194304,404.183,486,18.61588667499833,0.0,151.42,-9.574787691235542e-05,8.844417572021484,0.575120210647583,1.4980892728999606e-05,0.0,0.0003,0.2204599524187153,0.9182692307692307,2.7,0.45,0.66,3.97,0.09,0.0,0.0,0.09,0.0,0.07054597675800324,3.28,128.15,0.046819510869681835
128,4227072,472.65,485,20.896824435635935,0.0,167.43,-7.207784801721573e-05,8.8939208984375,0.5552133917808533,1.2735136799335578e-05,1.52587890625e-05,0.0003,0.1923497267759563,0.9108635097493036,2.26,0.47,0.77,4.18,0.12,0.0,0.0,0.12,0.01,0.08649925380945206,3.96,140.75,0.0452504480490461
129,4259840,540.077,485,17.986146154425807,0.0,149.91,9.455299004912376e-05,7.7970871925354,0.570418655872345,1.7148227506424973e-05,1.52587890625e-05,0.0003,0.20086139389193422,0.9297385620915033,2.96,0.39,0.58,3.94,0.15,0.0,0.0,0.15,0.01,0.10421938598155975,3.16,123.36,0.04056706721894443
130,4292608,605.198,487,19.677185008379166,0.0,162.1,-0.004806796088814735,8.052016258239746,0.5573717355728149,0.0016947581895010444,0.01422882080078125,0.0003,0.16672897196261682,0.9287749287749287,2.61,0.47,0.61,4.08,0.13,0.0,0.0,0.13,0.02,0.10047715961933136,3.38,132.14,0.04239617451094091
131,4325376,670.722,488,21.86130782850669,0.0,166.58,0.0023060645908117294,7.835824012756348,0.5705908536911011,0.0021098776773271766,0.0176239013671875,0.0003,0.1795429815016322,0.9309352517985612,3.06,0.57,0.74,4.55,0.08,0.0,0.0,0.08,0.02,0.04936357960104942,3.74,135.19,0.04686253482941538
132,4358144,740.252,486,20.802555969905807,0.0,161.08,-0.002549571916460991,9.254865646362305,0.5543887615203857,0.0025949229823254427,0.026458740234375,0.0003,0.218475073313783,0.9040697674418605,2.58,0.38,0.81,4.05,0.11,0.0,0.0,0.11,0.0,0.086256822347641,3.79,136.81,0.04383312491700053
133,4390912,808.567,486,22.6129505606927,0.0,170.38,-0.004704577848315239,10.036796569824219,0.5522152185440063,0.002135478779081268,0.01935577392578125,0.0003,0.2130028735632184,0.9201680672268907,2.96,0.58,0.83,4.7,0.14,0.0,0.0,0.14,0.01,0.09482916809618473,4.02,141.11,0.04064237093552947
