iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take,upgrades,removes,elites,potions_got,potions_used,potions_used_elite,potions_used_boss,potions_used_normal,potions_expired,potion_use_hp,relics,hp_lost,aux,potion_ent
2318,75988992,50.612,647,18.75,0.0,201.57,-0.00034865550696849823,15.788232803344727,0.5084006786346436,0.00044075671439713915,0.00360107421875,0.0003,0.15297805642633228,0.8931818181818182,4.35,0.45,1.31,5.09,5.17,0.95,0.64,3.58,0.0,3.952677991390228,5.25,158.18,0.03851248975843191,nan
2319,76021760,107.413,610,20.2,0.0,215.29,-0.00019245222210884094,14.245607376098633,0.46125099062919617,9.321299557996099e-05,0.00054168701171875,0.0003,0.17039689644882125,0.8756698821007503,4.2,0.43,1.53,5.54,5.5,1.03,0.81,3.66,0.0,4.14342949166894,5.7,170.3,0.04256200999952853,nan
2320,76054528,164.661,597,19.36,0.0,207.86,0.00014498841483145952,13.945878982543945,0.4796522855758667,9.088602544693458e-05,0.00051116943359375,0.0003,0.19256756756756757,0.8848684210526315,4.72,0.53,1.33,5.17,5.47,0.96,0.64,3.87,0.01,4.225675202012062,5.19,161.34,0.03842566709499806,nan
2321,76087296,223.141,587,19.95,0.0,205.01,-4.299776628613472e-05,15.412338256835938,0.47245264053344727,0.0001602177918016423,0.00121307373046875,0.0003,0.17765042979942694,0.8987485779294653,4.06,0.32,1.36,5.58,5.73,1.09,0.71,3.93,0.0,4.347953380644322,5.43,165.71,0.032292481046169996,nan
2322,76120064,280.116,584,20.2,0.0,218.24,1.858733594417572e-05,16.24231719970703,0.4823400676250458,8.914777133384177e-05,0.00048828125,0.0003,0.19801691455234763,0.8836967808930426,4.95,0.51,1.31,5.53,6.26,1.14,0.72,4.4,0.0,4.702709261476993,5.34,170.53,0.04131642170250416,nan
2323,76152832,338.786,580,19.55,0.0,202.98,0.0005769841372966766,14.426456451416016,0.46882501244544983,9.907051742175099e-05,0.00054931640625,0.0003,0.15524520948359857,0.9019396551724138,4.82,0.51,1.28,5.35,5.44,1.02,0.65,3.77,0.0,4.130593558847904,5.08,159.39,0.03769050701521337,nan
2324,76185600,395.464,580,19.25,0.0,205.21,-0.00028736330568790436,13.64068603515625,0.505582332611084,0.00010303261660737917,0.000640869140625,0.0003,0.17854909318323953,0.8969422423556059,4.83,0.5,1.03,5.06,4.94,0.92,0.52,3.5,0.01,3.7326231133937835,4.86,157.67,0.0378555478528142,nan
2325,76218368,454.897,576,19.69,0.0,212.56,-0.0002354665193706751,14.213780403137207,0.48916155099868774,0.00013930032925912883,0.0008544921875,0.0003,0.16165299301124278,0.880085653104925,4.7,0.35,1.3,5.71,5.64,0.98,0.69,3.97,0.0,4.17418525159359,5.35,168.45,0.03691956796683371,nan
2326,76251136,515.875,571,19.86,0.0,207.98,-0.004620024934411049,14.044276237487793,0.4725271165370941,0.0023966764970282384,0.02459716796875,0.0003,0.1642615904206325,0.881767955801105,4.56,0.49,1.42,5.01,5.28,1.09,0.75,3.44,0.0,3.8801831662654878,5.49,169.0,0.03492471715435386,nan
2327,76283904,572.378,572,20.13,0.0,213.85,-0.004499569069594145,13.582637786865234,0.48436880111694336,0.0027211971831775372,0.02204132080078125,0.0003,0.16401468788249693,0.8916309012875536,4.57,0.53,1.34,5.94,6.53,1.11,0.8,4.62,0.0,5.041790686845779,5.48,163.83,0.0361958269495517,nan
2328,76316672,627.058,574,19.84,0.0,210.87,-0.006958510261029005,14.4580659866333,0.4789872169494629,0.003318803497677436,0.02982330322265625,0.0003,0.1661528976572133,0.902127659574468,4.78,0.38,1.37,5.23,5.5,1.06,0.75,3.69,0.0,4.138329285681248,5.44,168.73,0.03293585852952674,nan
2329,76349440,682.985,575,19.88,0.0,207.9,-0.003504084423184395,14.012197494506836,0.43932557106018066,0.004026720258480054,0.03516387939453125,0.0003,0.15073185923388352,0.8751279426816786,4.35,0.45,1.42,5.49,5.62,1.06,0.58,3.98,0.0,4.2222910374403,5.5,167.77,0.03784405149053782,nan
2330,76382208,740.995,574,19.82,0.0,208.72,-0.008421278558671474,12.20089340209961,0.4880584478378296,0.0024514821641901108,0.0205078125,0.0003,0.16514320536258378,0.9100877192982456,4.05,0.55,1.26,5.38,5.2,0.93,0.72,3.55,0.0,4.015136659145355,5.05,163.83,0.03606477007269859,nan
2331,76414976,798.268,574,19.34,0.0,204.1,-0.00889488123357296,12.695858001708984,0.49010294675827026,0.0023669390177758487,0.0203704833984375,0.0003,0.11723920579892846,0.8997747747747747,4.35,0.49,1.15,5.06,5.07,0.68,0.63,3.76,0.0,3.9132642906904223,5.01,162.11,0.03762463154271245,nan
2332,76447744,854.754,575,19.58,0.0,230.17,-0.0040272315964102745,14.793834686279297,0.4573419690132141,0.0023798031706689926,0.01996612548828125,0.0003,0.19857717290442314,0.9184782608695652,4.4,0.53,1.25,5.36,5.48,1.0,0.77,3.71,0.0,4.2279875010252,5.2,162.42,0.03824478748720139,nan
2333,76480512,912.045,574,20.57,0.0,215.88,-0.008472584187984467,14.73024845123291,0.47757238149642944,0.002093748289780706,0.016937255859375,0.0003,0.14250839182178823,0.9036269430051813,5.34,0.57,1.25,5.62,5.86,0.99,0.62,4.25,0.0,4.515902042984963,5.51,167.94,0.040683519444428384,nan
2334,76513280,968.576,575,19.39,0.0,205.85,-0.0097994739189744,14.091588973999023,0.4564569592475891,0.007301713723194325,0.04888916015625,0.0003,0.17670682730923695,0.9041394335511983,4.73,0.45,1.22,5.42,5.59,0.88,0.69,4.02,0.0,4.3645777261257175,5.33,162.38,0.03448266052873805,nan
2335,76546048,1025.433,575,19.98,0.0,227.83,-0.008215425536036491,16.591938018798828,0.4691145420074463,0.00454822009965028,0.03571319580078125,0.0003,0.18606755126658625,0.8880753138075314,4.27,0.31,1.41,5.75,5.9,1.21,0.7,3.99,0.0,4.524686496257782,5.51,162.09,0.03626658068969846,nan
2336,76578816,1081.216,575,18.76,0.0,206.53,-0.004595424048602581,12.30931282043457,0.48420897126197815,0.002210818515777646,0.01981353759765625,0.0003,0.186819830713422,0.889763779527559,4.09,0.36,1.25,5.32,5.38,1.08,0.66,3.64,0.0,4.070996560454368,4.99,159.12,0.04002116119954735,nan
2337,76611584,1135.928,576,21.64,0.0,226.08,-0.010338064283132553,13.166378021240234,0.45217379927635193,0.00259513001248024,0.02025604248046875,0.0003,0.16461494417406242,0.8859649122807017,5.19,0.57,1.66,5.64,5.86,1.1,0.83,3.93,0.0,4.470773061811924,6.11,177.13,0.03634730482008308,nan
2338,76644352,1198.671,574,19.17,0.0,197.63,-0.008205709978938103,17.518489837646484,0.4719858467578888,0.0058343524529504975,0.041168212890625,0.0003,0.17814419657290656,0.9305239179954442,4.63,0.44,1.2,5.44,5.61,1.0,0.64,3.97,0.01,4.20669354736805,5.03,163.15,0.04201379755977541,nan
2339,76677120,1254.214,574,20.38,0.0,208.14,-0.0071733081713318825,14.719585418701172,0.4812069535255432,0.003427226177677767,0.03182220458984375,0.0003,0.17270721714465806,0.8957446808510638,5.25,0.55,1.32,5.33,5.36,0.91,0.67,3.78,0.0,4.1958620661497115,5.32,164.91,0.04065494774840772,nan
