iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take,upgrades,removes,elites,potions_got,potions_used,potions_used_elite,potions_used_boss,potions_used_normal,potions_expired,potion_use_hp,relics,hp_lost,aux,potion_ent,potions_discarded
3232,105971712,116.932,560,18.82,0.0,210.47,3.081467002630234e-05,37.96825408935547,0.5351831912994385,0.00048409616890410234,0.00304412841796875,0.0003,0.20548357939138295,0.8247191011235955,3.7,0.47,1.32,4.99,4.94,0.87,0.65,3.42,0.04,3.628109747320414,5.21,160.0,0.03633043929585256,nan,0.02
3233,106037248,237.33,552,21.08,0.0,224.58,0.0003552527632564306,33.179718017578125,0.5225102305412292,0.00017752861558051336,0.001171112060546875,0.0003,0.2709030100334448,0.7773237997957099,4.74,0.66,1.31,5.57,5.55,1.15,0.81,3.59,0.04,4.175673737078905,5.72,170.02,0.038819239765871316,nan,0.0
3234,106102784,360.818,544,20.16,0.0,220.49,-0.0004415592411532998,36.30556106567383,0.5221588611602783,0.00020627211883095242,0.001392364501953125,0.0003,0.23861988982313714,0.8192640692640693,4.05,0.59,1.21,5.56,5.52,1.01,0.69,3.82,0.02,4.129145815372467,5.11,166.1,0.03806824842467904,nan,0.01
3235,106168320,479.053,547,20.46,0.0,223.03,0.0005678483285009861,35.608428955078125,0.5154178738594055,0.00018355150079685245,0.001224517822265625,0.0003,0.21593172119487908,0.7904066736183525,4.25,0.63,1.38,5.64,5.68,1.14,0.84,3.7,0.06,4.186784868836403,5.46,169.13,0.038903530046809465,nan,0.01
3236,106233856,604.441,542,20.6,0.0,226.36,-0.00772160803899169,32.301124572753906,0.5448362827301025,0.005107500202569781,0.047183990478515625,0.0003,0.22240802675585283,0.7983453981385729,4.09,0.65,1.48,5.59,5.63,1.04,0.87,3.72,0.01,4.268249526321888,5.59,178.28,0.03956499742344022,nan,0.01
3237,106299392,733.746,535,20.08,0.0,219.21,-0.009946991689503193,34.032508850097656,0.5747151374816895,0.006165368342863076,0.053516387939453125,0.0003,0.2349742415569548,0.7842502696871629,3.9,0.64,1.16,5.51,5.39,0.81,0.73,3.85,0.02,3.991168243288994,5.25,166.65,0.0399293135269545,nan,0.02
3238,106364928,865.109,530,19.93,0.0,215.39,-0.003843770595267415,30.429100036621094,0.5476621389389038,0.005989324041678401,0.052783966064453125,0.0003,0.2227781047675103,0.7700534759358288,3.99,0.49,1.15,5.29,5.26,0.95,0.63,3.68,0.0,3.9536910486221313,5.08,165.04,0.03528415141045116,nan,0.01
3239,106430464,1007.981,520,18.92,0.0,203.6,-0.0034573383163660765,31.128740310668945,0.5358136296272278,0.00705681071502795,0.05626678466796875,0.0003,0.2144206549118388,0.7929465301478953,3.93,0.53,1.17,5.15,5.1,1.0,0.52,3.58,0.01,3.8864216889441012,4.67,158.21,0.03778779902495444,nan,0.0
3240,106496000,1129.867,522,18.98,0.0,206.29,-0.011040118522942066,32.83597183227539,0.5201080441474915,0.0051041434125522755,0.041919708251953125,0.0003,0.2214395099540582,0.8180778032036613,4.36,0.58,1.22,5.06,5.09,0.92,0.67,3.5,0.03,3.8059946176409722,5.07,162.67,0.03829411254264414,nan,0.0
3241,106561536,1247.49,525,18.72,0.0,205.13,-0.008737150579690933,37.23790740966797,0.5223217606544495,0.005491535160871308,0.04361724853515625,0.0003,0.20918836140888208,0.8015873015873016,3.57,0.6,1.13,5.17,5.26,0.76,0.81,3.69,0.03,3.8642130681872366,4.88,161.93,0.03929144376888871,nan,0.0
