iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take,upgrades,removes,elites,potions_got,potions_used,potions_used_elite,potions_used_boss,potions_used_normal,potions_expired,potion_use_hp,relics,hp_lost
0,32768,26.748,1225,1.1914082345273345,0.89,17.13,-0.011030484922230244,12.584125518798828,0.6161843538284302,0.007989881796561349,0.073150634765625,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,65536,52.7,1243,1.253902910593897,0.88,16.4,-0.007927519269287586,7.665803909301758,0.6337898969650269,0.007060159660454701,0.06153106689453125,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,98304,78.342,1254,1.2995542366895825,0.9,16.55,-0.01022501289844513,4.2544660568237305,0.6254503726959229,0.008575988099494225,0.07346343994140625,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,131072,104.177,1258,1.1438385364226997,0.87,18.55,-0.011786898598074913,2.5805130004882812,0.6586509943008423,0.008165667560348311,0.0700225830078125,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,163840,130.4,1256,1.201344127850607,0.85,16.63,-0.007751781493425369,1.3686721324920654,0.6247130632400513,0.005165651873880961,0.05313873291015625,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,196608,156.988,1252,1.2260730330459773,0.85,16.97,-0.010554594919085503,0.7284244298934937,0.6243039965629578,0.006917317356510466,0.06227874755859375,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,229376,182.606,1256,1.272869899319485,0.9,16.06,-0.009242059662938118,0.41351670026779175,0.6320762634277344,0.007623813334518559,0.06842041015625,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,262144,208.242,1258,1.237721470762044,0.86,15.5,-0.011535217054188251,0.23124629259109497,0.6077257990837097,0.007179481655953168,0.0647430419921875,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,294912,233.605,1262,1.2086506034154445,0.86,17.13,-0.009587879292666912,0.11964865773916245,0.6184300184249878,0.006054455852336105,0.0567779541015625,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,327680,259.289,1263,1.2887702369689942,0.88,16.66,-0.00958400871604681,0.05509362742304802,0.6278297901153564,0.007762598712702129,0.063140869140625,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,360448,286.265,1259,1.3565884126350283,0.94,16.03,-0.011051932349801064,0.03603736311197281,0.5996995568275452,0.008230876755703775,0.0714569091796875,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,393216,312.036,1260,1.0011121017206461,0.8,18.07,-0.009664224460721016,0.029025288298726082,0.5663113594055176,0.009980186257621426,0.0752410888671875,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,425984,338.423,1258,1.2061924098525196,0.87,17.04,-0.012156086973845959,0.025200355798006058,0.5978657603263855,0.009843706152310006,0.07392120361328125,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,458752,364.122,1259,1.0947932598553598,0.84,17.22,-0.014196803793311119,0.023421820253133774,0.5908676385879517,0.010739456209535092,0.07736968994140625,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,491520,389.921,1260,1.2679714567400515,0.89,16.66,-0.010381035506725311,0.024634983390569687,0.5491355657577515,0.007945540768986348,0.06517791748046875,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,524288,416.196,1259,1.3152887051552533,0.9,16.9,-0.012141048908233643,0.02362966351211071,0.5570257902145386,0.009258074344757006,0.07158660888671875,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,557056,442.728,1258,1.2836339675914497,0.89,16.24,-0.01416916586458683,0.02235383167862892,0.551148533821106,0.00897064437326378,0.06987762451171875,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,589824,468.651,1258,1.224662530841306,0.86,16.22,-0.01527707464993,0.022509101778268814,0.5630940198898315,0.007154843845661674,0.06145477294921875,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,622592,494.897,1258,1.2538729758374394,0.92,18.07,-0.01156364381313324,0.024244042113423347,0.5388591289520264,0.007662676808649849,0.06201171875,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,655360,520.963,1257,1.2221355838421732,0.89,17.48,-0.012245986610651016,0.020996322855353355,0.5426017045974731,0.006650271742046243,0.05513763427734375,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,688128,546.767,1258,1.3000504536181687,0.9,18.0,-0.012556850910186768,0.022372430190443993,0.5355837345123291,0.007633171078964551,0.0610198974609375,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,720896,573.48,1257,1.381213362775743,0.93,16.63,-0.012663496658205986,0.020443568006157875,0.5114636421203613,0.008013531181575217,0.06015777587890625,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,753664,599.358,1257,1.2352328957431018,0.86,17.32,-0.011411846615374088,0.019948074594140053,0.5189154744148254,0.007940070290715084,0.0584716796875,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,786432,625.25,1257,1.3131435753870755,0.89,16.62,-0.014203859493136406,0.018762633204460144,0.5234214067459106,0.00859307014329147,0.06304931640625,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,819200,651.393,1257,1.2318071789201348,0.85,15.88,-0.012951431795954704,0.019718945026397705,0.5050555467605591,0.006587241546981204,0.0528411865234375,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,851968,677.367,1257,1.3920438926387577,0.95,16.45,-0.011807714588940144,0.019056759774684906,0.5097814798355103,0.007247402643571377,0.0569915771484375,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
26,884736,704.371,1256,1.4805039618164302,0.96,16.45,-0.01456633023917675,0.017343295738101006,0.5010051131248474,0.006430961879914321,0.05193328857421875,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,917504,730.355,1256,1.3649627771787345,0.89,15.6,-0.013094758614897728,0.021081971004605293,0.5102775692939758,0.007393288989675284,0.05303955078125,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
28,950272,756.437,1256,1.4917095190566032,0.95,16.12,-0.013048073276877403,0.019563734531402588,0.5066319108009338,0.00671247140860487,0.052581787109375,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
29,983040,782.503,1256,1.4047353243455292,0.94,16.78,-0.01097664050757885,0.018149716779589653,0.5064828395843506,0.008205358700820398,0.06036376953125,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,1015808,808.373,1256,1.4707447065412997,0.92,15.85,-0.012667923234403133,0.016927089542150497,0.5072828531265259,0.006887802124765585,0.05686187744140625,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
31,1048576,835.312,1255,1.4151261580735446,0.91,15.16,-0.012825949117541313,0.018646173179149628,0.5043768882751465,0.006932345267784967,0.0543670654296875,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32,1081344,861.375,1255,1.367645943965763,0.93,16.82,-0.011903000995516777,0.017117273062467575,0.5028560757637024,0.006891721784711535,0.0555877685546875,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,1114112,887.469,1255,1.3515786143299193,0.91,15.25,-0.013886842876672745,0.021126016974449158,0.5006701946258545,0.007110549679168798,0.05743408203125,0.0003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
